,channel,event,timestamp,type,userId
80603,client,First Contentful Paint,2020-01-11 02:00:00.955,track,anon0177
80604,client,App Timing Metric,2020-01-11 02:00:02.693,track,anon0177
80605,server,generic0120 Run Failed,2020-01-11 02:00:04.561,track,anon0051
80606,client,Debugger Call Clicked,2020-01-11 02:00:09.666,track,anon0020
80607,server,Tracking Plan Saved,2020-01-11 02:00:11.042,track,anon0154
80608,server,Tracking Plan Saved,2020-01-11 02:00:11.056,track,anon0154
80609,server,Tracking Plan Connection Changed,2020-01-11 02:00:11.700,track,anon0154
80610,client,App Timing Metric,2020-01-11 02:00:14.496,track,anon0009
80611,client,Debugger Call Clicked,2020-01-11 02:00:15.679,track,anon0020
80612,client,App Timing Metric,2020-01-11 02:00:22.938,track,anon0176
80613,server,generic0120 Run Failed,2020-01-11 02:00:22.952,track,anon0093
80614,client,App Timing Metric,2020-01-11 02:00:23.044,track,anon0176
80615,server,Tracking Plan Saved,2020-01-11 02:00:23.213,track,anon0154
80616,server,Tracking Plan Saved,2020-01-11 02:00:33.820,track,anon0154
80617,client,JavaScript Error,2020-01-11 02:01:00.831,track,anon0113
80618,server,User Logged In,2020-01-11 02:01:09.729,track,anon0086
80619,server,Tracking Plan Saved,2020-01-11 02:01:10.922,track,anon0154
80620,client,generic29 Nav Link Clicked,2020-01-11 02:01:20.459,track,anon0141
80621,client,First Contentful Paint,2020-01-11 02:01:21.742,track,anon0141
80622,client,App Timing Metric,2020-01-11 02:01:24.386,track,anon0141
80623,server,Tracking Plan Saved,2020-01-11 02:01:25.290,track,anon0154
80624,client,generic29 Nav Link Clicked,2020-01-11 02:01:28.470,track,anon0143
80625,client,First Paint,2020-01-11 02:01:29.885,track,anon0013
80626,client,First Contentful Paint,2020-01-11 02:01:29.903,track,anon0013
80627,client,App Timing Metric,2020-01-11 02:01:30.332,track,anon0013
80628,client,First Input Delay,2020-01-11 02:01:32.706,track,anon0013
80629,server,Tracking Plan Saved,2020-01-11 02:01:32.875,track,anon0154
80630,server,Tracking Plan Connection Changed,2020-01-11 02:01:34.028,track,anon0154
80631,client,App Timing Metric,2020-01-11 02:01:34.591,track,anon0083
80632,server,Tracking Plan Saved,2020-01-11 02:01:36.618,track,anon0154
80633,client,Debugger Call Clicked,2020-01-11 02:01:41.582,track,anon0143
80634,client,First Input Delay,2020-01-11 02:01:44.440,track,anon0141
80635,client,App Timing Metric,2020-01-11 02:01:44.447,track,anon0013
80636,client,Run History Viewed,2020-01-11 02:01:45.637,track,anon0013
80637,client,App Timing Metric,2020-01-11 02:01:45.882,track,anon0013
80638,client,Debugger Searched,2020-01-11 02:01:47.357,track,anon0141
80639,client,Email Captured,2020-01-11 02:01:51.063,track,anon0038
80640,client,Debugger Searched,2020-01-11 02:01:52.472,track,anon0141
80641,client,Debugger Call Clicked,2020-01-11 02:01:54.337,track,anon0143
80642,client,Debugger Call Clicked,2020-01-11 02:01:54.838,track,anon0143
80643,client,Debugger Call Clicked,2020-01-11 02:01:55.390,track,anon0143
80644,client,First Paint,2020-01-11 02:01:56.652,track,
80645,client,Signup Page Viewed,2020-01-11 02:01:56.654,track,
80646,client,First Contentful Paint,2020-01-11 02:01:56.688,track,
80647,client,First Input Delay,2020-01-11 02:01:58.166,track,
80648,client,Email Captured,2020-01-11 02:01:59.405,track,
80649,client,Debugger Searched,2020-01-11 02:02:05.320,track,anon0141
80650,client,Debugger Searched,2020-01-11 02:02:08.744,track,anon0141
80651,server,Tracking Plan Saved,2020-01-11 02:02:11.005,track,anon0154
80652,client,User Settings Detail Form Edited,2020-01-11 02:02:11.312,track,anon0038
80653,client,generic08 Error,2020-01-11 02:02:11.468,track,
80654,client,Lead Captured,2020-01-11 02:02:11.477,track,anon0038
80655,client,Network Error,2020-01-11 02:02:11.495,track,
80656,server,generic27 Created,2020-01-11 02:02:12.005,track,anon0120
80657,server,Signup Completed,2020-01-11 02:02:12.205,track,anon0120
80658,client,User Signed Up,2020-01-11 02:02:12.471,track,anon0120
80659,client,Debugger Searched,2020-01-11 02:02:13.653,track,anon0141
80660,client,Email Captured,2020-01-11 02:02:23.624,track,
80661,server,Tracking Plan Saved,2020-01-11 02:02:23.759,track,anon0154
80662,server,User Created,2020-01-11 02:02:27.704,track,anon0120
80663,server,User Email Verification Succeeded,2020-01-11 02:02:29.150,track,anon0120
80664,client,Debugger Searched,2020-01-11 02:02:30.250,track,anon0141
80665,client,First Paint,2020-01-11 02:02:30.805,track,anon0120
80666,client,First Contentful Paint,2020-01-11 02:02:30.816,track,anon0120
80667,server,Tracking Plan Saved,2020-01-11 02:02:31.481,track,anon0154
80668,client,First Input Delay,2020-01-11 02:02:33.027,track,anon0120
80669,client,User Settings Detail Form Edited,2020-01-11 02:02:42.019,track,
80670,client,Lead Captured,2020-01-11 02:02:42.113,track,
80671,server,Signup Completed,2020-01-11 02:02:42.687,track,anon0121
80672,server,Password Submitted,2020-01-11 02:02:42.747,track,anon0065
80673,client,User Signed Up,2020-01-11 02:02:42.760,track,anon0121
80674,client,App Timing Metric,2020-01-11 02:02:43.481,track,anon0121
80675,client,App Timing Metric,2020-01-11 02:02:43.906,track,anon0121
80676,server,User Created,2020-01-11 02:02:44.179,track,anon0121
80677,client,Debugger Searched,2020-01-11 02:02:48.598,track,anon0141
80678,client,Debugger Searched,2020-01-11 02:02:50.211,track,anon0141
80679,client,Debugger Searched,2020-01-11 02:02:51.413,track,anon0141
80680,client,Debugger Searched,2020-01-11 02:02:52.292,track,anon0141
80681,client,Debugger Searched,2020-01-11 02:02:53.086,track,anon0141
80682,client,Debugger Searched,2020-01-11 02:02:55.523,track,anon0141
80683,client,Debugger Searched,2020-01-11 02:02:56.346,track,anon0141
80684,client,App Timing Metric,2020-01-11 02:02:56.938,track,anon0121
80685,client,Viewed Integration,2020-01-11 02:02:57.032,track,anon0121
80686,client,App Timing Metric,2020-01-11 02:02:57.104,track,anon0121
80687,client,Side Nav Clicked,2020-01-11 02:03:01.519,track,anon0121
80688,client,Side Nav Clicked generic01,2020-01-11 02:03:01.529,track,anon0121
80689,client,generic17 Viewed,2020-01-11 02:03:01.702,track,anon0121
80690,server,Tracking Plan Saved,2020-01-11 02:03:11.073,track,anon0154
80691,client,Side Nav Clicked,2020-01-11 02:03:21.653,track,anon0121
80692,server,Tracking Plan Saved,2020-01-11 02:03:22.732,track,anon0154
80693,client,First Paint,2020-01-11 02:03:27.143,track,anon0068
80694,client,First Contentful Paint,2020-01-11 02:03:27.183,track,anon0068
80695,client,App Timing Metric,2020-01-11 02:03:27.233,track,anon0068
80696,client,First Input Delay,2020-01-11 02:03:28.324,track,anon0068
80697,server,Tracking Plan Saved,2020-01-11 02:03:29.897,track,anon0154
80698,client,App Timing Metric,2020-01-11 02:03:32.124,track,anon0121
80699,server,Reset Password,2020-01-11 02:03:37.271,track,anon0120
80700,client,First Paint,2020-01-11 02:03:38.557,track,anon0120
80701,client,First Contentful Paint,2020-01-11 02:03:38.568,track,anon0120
80702,client,App Timing Metric,2020-01-11 02:03:39.690,track,anon0120
80703,client,Side Nav Clicked,2020-01-11 02:03:45.473,track,anon0121
80704,client,First Input Delay,2020-01-11 02:03:46.719,track,anon0120
80705,client,Side Nav Clicked,2020-01-11 02:03:53.372,track,anon0013
80706,client,App Timing Metric,2020-01-11 02:03:53.892,track,anon0013
80707,client,Side Nav Clicked Overview,2020-01-11 02:03:57.807,track,anon0135
80708,client,Side Nav Clicked,2020-01-11 02:03:57.967,track,anon0135
80709,client,First Paint,2020-01-11 02:03:59.495,track,anon0135
80710,client,First Contentful Paint,2020-01-11 02:03:59.503,track,anon0135
80711,client,App Timing Metric,2020-01-11 02:03:59.513,track,anon0135
80712,client,Unread Notification Count Displayed,2020-01-11 02:03:59.807,track,anon0135
80713,client,Debugger Searched,2020-01-11 02:04:01.064,track,anon0141
80714,client,First Contentful Paint,2020-01-11 02:04:02.156,track,anon0069
80715,client,Signup Page Viewed,2020-01-11 02:04:02.162,track,anon0069
80716,client,Debugger Searched,2020-01-11 02:04:02.925,track,anon0141
80717,client,First Input Delay,2020-01-11 02:04:03.161,track,anon0135
80718,client,generic29 Nav Link Clicked,2020-01-11 02:04:03.392,track,anon0013
80719,client,App Timing Metric,2020-01-11 02:04:04.682,track,anon0013
80720,client,Signup Page Viewed,2020-01-11 02:04:06.233,track,anon0069
80721,client,First Contentful Paint,2020-01-11 02:04:06.249,track,anon0069
80722,client,Debugger Searched,2020-01-11 02:04:08.534,track,anon0141
80723,server,Tracking Plan Saved,2020-01-11 02:04:11.061,track,anon0154
80724,client,View generic2325 Clicked,2020-01-11 02:04:12.868,track,anon0141
80725,server,Tracking Plan Saved,2020-01-11 02:04:23.115,track,anon0154
80726,server,Tracking Plan Saved,2020-01-11 02:04:32.381,track,anon0154
80727,client,Side Nav Clicked,2020-01-11 02:04:36.086,track,anon0141
80728,client,Side Nav Clicked generic30,2020-01-11 02:04:36.123,track,anon0141
80729,client,Side Nav Clicked,2020-01-11 02:04:39.878,track,anon0141
80730,client,Side Nav Clicked generic04,2020-01-11 02:04:39.913,track,anon0141
80731,client,App Timing Metric,2020-01-11 02:04:44.502,track,anon0009
80732,client,App Timing Metric,2020-01-11 02:04:46.377,track,anon0054
80733,client,Checklist Item Expanded,2020-01-11 02:04:52.802,track,anon0054
80734,client,App Timing Metric,2020-01-11 02:04:53.595,track,anon0141
80735,client,Side Nav Clicked,2020-01-11 02:04:55.189,track,anon0054
80736,client,Side Nav Clicked generic04,2020-01-11 02:04:55.217,track,anon0054
80737,client,App Timing Metric,2020-01-11 02:05:00.223,track,anon0054
80738,client,First Paint,2020-01-11 02:05:00.402,track,anon0120
80739,client,First Contentful Paint,2020-01-11 02:05:00.466,track,anon0120
80740,client,App Timing Metric,2020-01-11 02:05:00.564,track,anon0120
80741,client,App Timing Metric,2020-01-11 02:05:05.176,track,anon0141
80742,client,First Input Delay,2020-01-11 02:05:09.699,track,anon0120
80743,server,Tracking Plan Saved,2020-01-11 02:05:10.921,track,anon0154
80744,client,First Contentful Paint,2020-01-11 02:05:16.419,track,anon0006
80745,client,App Timing Metric,2020-01-11 02:05:16.469,track,anon0141
80746,client,generic23 Overview Link Clicked,2020-01-11 02:05:17.663,track,anon0054
80747,client,First Input Delay,2020-01-11 02:05:17.992,track,anon0006
80748,server,Tracking Plan Saved,2020-01-11 02:05:22.926,track,anon0154
80749,server,Tracking Plan Saved,2020-01-11 02:05:30.574,track,anon0154
80750,server,Password Submitted,2020-01-11 02:05:32.335,track,anon0065
80751,client,User Logged In,2020-01-11 02:05:32.405,track,anon0006
80752,client,First Contentful Paint,2020-01-11 02:05:33.243,track,anon0006
80753,client,App Timing Metric,2020-01-11 02:05:33.534,track,anon0006
80754,client,App Timing Metric,2020-01-11 02:05:35.891,track,anon0054
80755,client,App Timing Metric,2020-01-11 02:05:36.062,track,anon0054
80756,client,First Paint,2020-01-11 02:05:48.097,track,anon0054
80757,client,First Contentful Paint,2020-01-11 02:05:48.151,track,anon0054
80758,client,User Settings Detail Form Edited,2020-01-11 02:05:53.113,track,anon0045
